City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,puerto colombia,10.9878,-74.9547,28.05,84,100,3.72,CO,1730342617
232,bengkulu,-3.8004,102.2655,28.09,73,59,1.22,ID,1730342619
233,san antonio de pale,-1.4014,5.6325,25.52,83,68,3.4,GQ,1730342620
234,vadso,70.0744,29.7487,-2.91,86,75,7.2,NO,1730342621
235,alliance,40.9153,-81.1059,18.12,66,100,4.73,US,1730342622
236,madang,-5.2246,145.7966,30.19,65,50,3.69,PG,1730342623
237,zhumysker,49.3333,49.4,2.26,76,14,3.74,KZ,1730342624
238,mudanya,40.3753,28.8822,14.05,82,81,3.31,TR,1730342625
239,fale old settlement,-9.3852,-171.2468,28.75,69,99,6.17,TK,1730342626
240,ilebo,-4.3167,20.5833,21.18,100,100,0.32,CD,1730342627
241,yibin,28.7667,104.6238,18.78,81,100,0.75,CN,1730342628
242,orillia,44.6087,-79.4207,19.27,80,100,3.6,CA,1730342344
243,ust-nera,64.5667,143.2,-17.99,95,98,1.92,RU,1730342631
244,bantogon,6.5333,124.0333,29.13,66,100,1.69,PH,1730342632
245,puerto baquerizo moreno,-0.9,-89.6,20.79,83,100,3.39,EC,1730342396
246,aykhal,66.0,111.5,-12.77,96,99,2.1,RU,1730342634
247,la passe,45.5549,-0.8967,14.5,84,0,3.84,FR,1730342635
248,yoloten,37.2989,62.3597,9.72,49,23,3.46,TM,1730342636
249,norderney,53.7,7.15,12.2,90,100,6.23,DE,1730342637
250,jalai nur,49.45,117.7,5.63,61,97,7.67,CN,1730342638
251,laguna,38.421,-121.4238,16.08,56,75,2.57,US,1730342639
252,westport,41.1415,-73.3579,17.75,86,0,0.0,US,1730342640
253,guapi,2.5708,-77.8854,24.05,95,100,1.65,CO,1730342642
254,susuman,62.7833,148.1667,-13.46,82,100,2.61,RU,1730342630
255,tocopilla,-22.092,-70.1979,18.02,80,11,2.18,CL,1730342267
256,abadeh,31.1608,52.6506,11.14,18,100,1.34,IR,1730342645
257,tanguieta,10.6212,1.2665,23.98,44,44,1.62,BJ,1730342646
258,nabire,-3.3667,135.4833,31.8,59,82,2.48,ID,1730342647
259,cimin,39.7101,39.7021,-3.96,86,0,0.0,TR,1730342648
260,juhaynah,26.6732,31.4976,17.12,48,0,3.4,EG,1730342649
261,wick,58.4333,-3.0833,14.03,72,100,9.26,GB,1730342539
262,fada,7.25,4.0667,22.54,98,14,0.53,NG,1730342651
263,kuanda,56.3161,116.0806,-3.6,90,87,1.1,RU,1730342652
264,coahuayana de hidalgo,18.7,-103.6583,24.94,94,13,1.07,MX,1730342653
265,ijebu-igbo,6.9798,4.0033,22.92,97,9,0.46,NG,1730342655
266,key west,24.5557,-81.7826,28.0,83,40,6.69,US,1730342573
267,svetlyy,54.675,20.1347,8.94,87,98,3.79,RU,1730342657
268,dickinson,29.4608,-95.0513,26.69,89,75,5.14,US,1730342658
269,palmer,42.1584,-72.3287,16.75,69,75,3.09,US,1730342659
270,wailua homesteads,22.0669,-159.378,26.44,82,40,7.72,US,1730342660
271,salinopolis,-0.6136,-47.3561,26.38,79,49,4.16,BR,1730342661
272,thunder bay,48.4001,-89.3168,-0.05,100,40,2.06,CA,1730342502
273,porto murtinho,-21.6989,-57.8825,29.14,40,79,2.46,BR,1730342663
274,st. john's,47.5649,-52.7093,1.42,85,75,1.34,CA,1730342665
275,tromso,69.6496,18.957,0.01,86,100,8.75,NO,1730342666
276,sola,-13.8833,167.55,25.94,81,98,3.29,VU,1730342667
277,ciudad lazaro cardenas,17.9583,-102.2,26.71,83,69,1.78,MX,1730342669
278,acajutla,13.5928,-89.8275,25.72,87,100,3.57,SV,1730342670
279,praia da vitoria,38.7333,-27.0667,19.14,94,75,5.6,PT,1730342671
280,dakhla,23.6848,-15.958,19.43,80,100,7.67,EH,1730342672
281,kuta,-8.7233,115.1723,27.97,94,75,3.6,ID,1730342673
282,tshikapa,-6.4167,20.8,20.83,97,100,0.81,CD,1730342674
